Initial ,Date,course_id,time(m),Summary
RP,1/8/2024,ECON-111-02,50,Class - went over chapter 1 of economics textbook
RP,1/8/2024,MATH-118-01,50,Class - went of chapter 5.1 and 5.2 from Calculus 1
RP,1/8/2024,MATH-205-03,75,Class - went over different types of data and graphs
RP,1/8/2024,BUSA-103-01,30,Read Chapter 1 of text book for quiz on Tuesday
RP,1/9/2024,BUSA-103-01,75,Class - went over chapter 1 of the textbook and had a reading quiz over it
RP,1/9/2024,DS-160-01,75,Class - worked on data analysis in excel
RP,1/9/2024,MATH-118-01,45,Class - had a math lab that went over 5.1 and 5.2 in maple
RP,1/9/2024,DS-160-01,15,Finished up the graphs for data analysis of Murder and Assault Rate
RP,1/9/2024,ECON-111-02,33,Did MindTap assignments for Chapter 2 and 1
RP,1/10/2024,ECON-111-02,50,Class - Went over chapter 2 of the economics textbook
RP,1/10/2024,MATH-118-01,50,Class - Went over the fundamental theorem of calculus and went over practice problems
RP,1/10/2024,MATH-205-03,75,"Class - Went over box blots and mean, median, IQR, standard deviation"
RP,1/10/2024,BUSA-103-01,45,Read Chapter 2 of the text book for quiz on Thursday
RP,1/11/2024,BUSA-103-01,60,Class - went over chapter 3 of the textbook and had a reading quiz over it
RP,1/11/2024,DS-160-01,75,Class - Worked on Exam score anyaliss with Clay
RP,1/12/2024,ECON-111-02,50,Class - Went over chapter 3 of economics textbook
RP,1/12/2024,MATH-118-01,50,Class - Went over 5.4 
RP,1/12/2024,MATH-205-03,50,Class - Went over normal distribution
RP,1/12/2024,MATH-118-01,51,Did 5.1 practice problems and started 5.2 practice problems
RP,1/15/2024,MATH-205-03,5,Responded to question moodle that was homework
RP,1/15/2024,BUSA-103-01,40,Read chapter 4 of the textbook for quiz on Tuesday
RP,1/16/2024,BUSA-103-01,75,Class - Went over chapter 4 of the textbook and had a reading quiz on it
RP,1/16/2024,DS-160-01,75,Class - Went over numpy analysis and did some practice
RP,1/16/2024,MATH-118-01,120,"Class - Had a math quiz over section 5.1, 5.2, and 5.3 and then did a math lab in groups"
RP,1/16/2024,ECON-111-02,10,Started on Chapter 3 Mind tap
RP,1/17/2024,ECON-111-02,50,Class - Went over supply and demand and chapter 3
RP,1/17/2024,MATH-118-01,50,Class - 5.5 substitution with Integrals
RP,1/17/2024,MATH-205-03,75,Class - Did more with normal distribution 
RP,1/17/2024,MATH-205-03,180,Doing Homework assignment one for statistics
RP,1/17/2024,BUSA-103-01,45,Read Chapter 5 of the textbook
RP,1/18/2024,BUSA-103-01,75,Class- went over chapter 5 of textbook and had reading quiz over it
RP,1/18/2024,DS-160-01,75,Class - Finished the group work of the heart disease anyalysis using Numpy. 
RP,1/18/2024,MATH-205-03,55,Finished up the homework assignment 1
